Designator,Footprint,Quantity,Value,LCSC Part #
,72190c3a-44d7-4d1f-8c19-bd071d7af191,1,,
"C1, C2, C25",0402,3,1uF,
"C10, C11, C13, C14, C16, C17, C18, C20, C21, C23, C24, C3, C4, C5, C6, C8",0402,16,100nF,
"C12, C15, C19, C22, C7, C9",0402,6,10uF,
"Q1, Q2",SOT95P240X120-3N,2,BSS138,C7420339
"R1, R10, R11, R14, R3, R5, R6, R7, R8, R9",0402,10,4.7K,
"R12, R13, R2",0402,3,5.1K,
R4,0402,1,1K,
U1,SOT95P280X145-5N,1,TLV75733PDBVR,
U2,BGA132C50P14X14_800X800X135,1,LCMXO2-256HC-4MG132C,
U3,TXU0101DRYR,1,TXU0101DRYR,
"U4, U6",74LVC245ABQ115,2,"74LVC245ABQ,115",
U7,TXU0204BQAR,1,TXU0204BQAR,
