Designator,Mid X,Mid Y,Rotation,Layer
,155.0475,-86.515,0.0,bottom
C1,146.121,-91.4792,180.0,top
C10,143.9418,-116.8146,270.0,top
C11,144.907,-116.8172,270.0,top
C12,144.4244,-120.6246,270.0,top
C13,153.162,-107.9728,90.0,top
C14,149.239411,-104.964411,135.0,top
C15,149.9,-104.3,135.0,top
C16,151.688001,-85.517001,90.0,top
C17,143.665,-108.6358,135.0,top
C18,144.3482,-107.95,135.0,top
C19,145.034,-107.2642,135.0,top
C2,144.244,-91.4792,0.0,top
C20,150.1648,-119.0472,270.0,top
C21,153.965589,-114.537811,225.0,top
C22,150.1648,-121.0056,90.0,top
C23,152.1932,-117.4608,0.0,top
C24,154.0082,-117.4608,180.0,top
C25,154.625,-88.52,90.0,top
C3,153.899,-97.55,180.0,top
C4,152.567,-99.014,270.0,top
C5,143.8402,-100.2792,270.0,top
C6,147.1422,-119.0498,270.0,top
C7,147.1422,-120.9802,90.0,top
C8,147.425,-104.925,135.0,top
C9,153.162,-105.9688,270.0,top
Q1,153.125,-93.975,180.0,top
Q2,152.329999,-90.205,90.0,top
R1,145.415,-120.6266,270.0,top
R10,152.3746,-127.9652,90.0,top
R11,154.3558,-127.9672,270.0,top
R12,152.125,-96.25,0.0,top
R13,154.6,-91.240001,90.0,top
R14,152.775,-87.770001,0.0,top
R2,144.025,-105.375,180.0,top
R3,144.525,-103.95,90.0,top
R4,142.9004,-127.9672,90.0,top
R5,143.891,-127.9672,90.0,top
R6,145.8722,-127.9652,90.0,top
R7,153.3652,-127.9652,90.0,top
R8,144.8816,-127.9672,90.0,top
R9,151.4094,-127.9652,90.0,top
U1,145.125,-93.75,270.0,top
U2,148.602322,-112.068516,135.0,top
U3,154.075,-99.275,0.0,top
U4,147.3094,-100.2498,0.0,top
U6,148.225,-85.75,180.0,top
U7,153.1042,-119.9388,270.0,top
